// PatSize	  TextSize	  Naive-RT	    KMP-RT
     10000	    550000	      4359	      3587
    100000	    550000	      5351	      2643
        10	    560000	      5130	      4224
       100	    560000	      4714	      4186
      1000	    560000	      4584	      3989
     10000	    560000	      4462	      3668
    100000	    560000	      5688	      2749
        10	    570000	      5163	      4169
       100	    570000	      4500	      4097
      1000	    570000	      4675	      4533
     10000	    570000	      4827	      3729
    100000	    570000	      5750	      2795
        10	    580000	      5078	      4067
       100	    580000	      5331	      4203
      1000	    580000	      4742	      4278
     10000	    580000	      4681	      3785
    100000	    580000	      5586	      2681
        10	    590000	      5295	      4283
       100	    590000	      4921	      4307
      1000	    590000	      4975	      4569
     10000	    590000	      4757	      3801
    100000	    590000	      5715	      2747
        10	    600000	      5425	      4326
       100	    600000	      5257	      4334
      1000	    600000	      5126	      4603
     10000	    600000	      4881	      3909
    100000	    600000	      5911	      2816
        10	    610000	      5664	      4575
       100	    610000	      5081	      4462
      1000	    610000	      4843	      4405
     10000	    610000	      5036	      4004
    100000	    610000	      6077	      2847
        10	    620000	      5749	      4610
       100	    620000	      4964	      4627
      1000	    620000	      5018	      4540
     10000	    620000	      5043	      4046
    100000	    620000	      5911	      2847
        10	    630000	      6176	      4744
       100	    630000	      5541	      4540
      1000	    630000	      5088	      4625
     10000	    630000	      5051	      4357
    100000	    630000	      5931	      3044
        10	    640000	      6020	      4517
       100	    640000	      5018	      4687
      1000	    640000	      5142	      4608
     10000	    640000	      5195	      4166
    100000	    640000	      6183	      2948
        10	    650000	      6071	      4697
       100	    650000	      5662	      4716
      1000	    650000	      5234	      4654
     10000	    650000	      5346	      4230
    100000	    650000	      6458	      3145
        10	    660000	      6317	      4750
       100	    660000	      5445	      4955
      1000	    660000	      5283	      4805
     10000	    660000	      5414	      4282
    100000	    660000	      6215	      3102
        10	    670000	      6982	      4829
       100	    670000	      5656	      5086
      1000	    670000	      5462	      5071
     10000	    670000	      5404	      4370
    100000	    670000	      6333	      3006
        10	    680000	      6918	      4935
       100	    680000	      5637	      4872
      1000	    680000	      5567	      4849
     10000	    680000	      5507	      4468
    100000	    680000	      6865	      3579
        10	    690000	      7373	      5007
       100	    690000	      5920	      4859
      1000	    690000	      5365	      5073
     10000	    690000	      5631	      4644
    100000	    690000	      7096	      3111
        10	    700000	      6446	      5250
       100	    700000	      5423	      5279
      1000	    700000	      5791	      4886
     10000	    700000	      5667	      4555
    100000	    700000	      6853	      3151
        10	    710000	      6658	      5374
       100	    710000	      6054	      5128
      1000	    710000	      5592	      5273
     10000	    710000	      5716	      4580
    100000	    710000	      7074	      3285
        10	    720000	      6657	      5256
       100	    720000	      5904	      5267
      1000	    720000	      5624	      5257
     10000	    720000	      6157	      4664
    100000	    720000	      7370	      4855
        10	    730000	      6646	      5155
       100	    730000	      6127	      5426
      1000	    730000	      6004	      5173
     10000	    730000	      6081	      4944
    100000	    730000	      7325	      3379
        10	    740000	      6735	      5209
       100	    740000	      5835	      5918
      1000	    740000	      5844	      5245
     10000	    740000	      6338	      4813
    100000	    740000	      6970	      3280
        10	    750000	      6893	      5640
       100	    750000	      6184	      5857
      1000	    750000	      6321	      5431
     10000	    750000	      6196	      4768
    100000	    750000	      7508	      5473
        10	    760000	      6834	      5540
       100	    760000	      6052	      5451
      1000	    760000	      5983	      5373
     10000	    760000	      6117	      4993
    100000	    760000	      7328	      3352
        10	    770000	      7593	      5852
       100	    770000	      6253	      5558
      1000	    770000	      6056	      5467
     10000	    770000	      6429	      5060
    100000	    770000	      7399	      3534
        10	    780000	      7617	      7183
       100	    780000	      6306	      6516
      1000	    780000	      6068	      6203
     10000	    780000	      7893	      5178
    100000	    780000	      8729	      3998
        10	    790000	      7328	      6214
       100	    790000	      7318	      6521
      1000	    790000	      7042	      6508
     10000	    790000	      7320	      5669
